,unit,vocab,note
1,x,,
2,x,,
,1,Development is life-long,
,2,Development is multidirectional,
,3,Development is multidimensional,
,4,physical domain ,
,5,cognitive domain ,
,6,psychosocial domain ,
,7,Development is multidisciplinary. ,
,8,Development is characterized by plasticity. ,
,9,Plasticity ,
,10,Development is multicontextual. ,
,11,age-grade ,
,12,cohort ,
,13,Socioeconomic status (SES) ,
,14,Culture ,
,15,ethnocentrism ,
,16,Cultural relativity ,
,17,Lifespan,
,18,Life expectancy ,
,19,,
,20,,
,21,,
3,x,,
,1,,
,2,chronological age,
,3,Biological age ,
,4,Psychological age ,
,5,Social age ,
,6,,
,7,,
,8,,
4,x,,
,1,Prenatal Development,
,2,Infancy and Toddlerhood,
,3,Early Childhood ,
,4,Middle and Late Childhood ,
,5,Adolescence,
,6,Emerging Adulthood ,
,7,Early Adulthood,
,8,Middle Adulthood,
,9,Late Adulthood,
5,x,,
,1,,
,2,Nature ,
,3,Nurture ,
,4,Continuity versus Discontinuity ,
,5,Stage theories or discontinuous development ,
,6,continuous development,
,7,Active versus Passive ,
,8,Stability versus Change ,
6,x,,
,1,,
,2,Preformationism,
,3,John Locke ,
,4,Tabula Rosa ,
,5,Jean-Jacques Rousseau ,
,6,Arnold Gesell ,
,7,Sigmund Freud ,
,8,,
7,x,,
,1,Erikson and Psychosocial Theory ,claim his theory is too discontinuous...Not sure that’s true
,2,psychosocial crises table,
,3,Learning Theory ,
,4,Behaviorism,
,5,Social Learning Theory,
,6,reciprocal determinism,
,7,cognitive theories ,
,8,Jean Piaget (1896-1980) ,claim that across the world there is variation in abilities...no cite
,9,Stage Table,
,10,Lev Vygotsky (1896-1934) ,
,11,sociocultural theory ,
,12,Information Processing ,
,13,Urie Bronfenbrenner (1917-2005) ,
,14,Ecological Systems Theory,
,15,Microsystem ,
,16,Mesosystem ,
,17,Exosystem ,
,18,Macrosystem ,
,19,Chronosystem ,
,20,,
,21,,
,22,,
,23,,
,24,,
,25,,
,26,,
8,x,,
,1,research design ,
,2,Descriptive research ,
,3,Correlational research ,
,4,Experimental research ,
,5,Case Study ,
,6,Observations ,
,7,naturalistic observation,
,8,"Laboratory observation, ",
,9,Survey ,
,10,sample,
,11,population,
,12,representative sample ,
,13,social desirability,
,14,Interviews ,
,15,Psychophysiological Assessment ,
,16,Secondary/Content Analysis ,
,17,Pearson Correlation Coefficient,
,18,positive correlation,
,19,Negative correlations,
,20,third variable ,
,21,Correlation does not demonstrate causation,actually..it can
,22,Strengths and limitations ,
,23,experimental method ,
,24,hypotheses,
,25,variable ,
,26,independent variable ,
,27,dependent variable ,
,28,experimental group ,
,29,control group ,
,30,extraneous variables,
,31,,
,32,,
,33,,
,34,,
9,x,,
,1,Cross-sectional research ,
,2,cohort effect,
,3,Longitudinal research ,
,4,Attrition ,
,5,Practice effects ,
,6,Sequential research ,
10,x,,
,1,Conducting Ethical Research ,
,2,No Harm ,
,3,Informed Consent ,
,4,Confidentiality ,
,5,Deception ,
,6,Debriefing ,
,7,,
,8,,
,9,,
